10.0000 24.3500  8.1109  0.0317 -2.2978  2.4207  3.4524
10.0000 24.3600  8.1863  0.0339  6.2517  3.7203 13.3328
10.0000 24.3700  8.1243  0.0376 -3.1981  2.2952  2.3070
10.0000 24.3800  8.1304  0.0394 -3.3595  2.3192  2.1392
10.0000 24.3900  8.1878  0.0440  5.3443  3.9058 12.8916
10.0000 24.4000  8.1390  0.0391 -3.1854  2.4909  2.8111
10.0000 24.4100  8.1427  0.0380 -2.9265  2.6223  3.2985
10.0000 24.4200  8.2116  0.0375  6.4950  4.0522 14.0042
10.0000 24.4300  8.1517  0.0377 -2.0790  2.9878  4.7710
10.0000 24.4400  8.1577  0.0399 -1.5532  3.2062  5.8329
10.0000 24.4500  8.2437  0.0252  8.5730  4.0330 15.6797
10.0000 24.4600  8.1719  0.0469 -0.3355  3.6859  7.7148
10.0000 24.4700  8.1795  0.0502  0.3028  3.9206  8.6102
10.0000 24.4800  8.2662  0.0162 10.5896  3.8631 17.2623
10.0000 24.4900  8.1946  0.0546  1.5004  4.3280 10.1607
10.0000 24.5000  8.2017  0.0559  2.0034  4.4911 10.7771
10.0000 24.5100  8.2760  0.0171 11.9057  4.2290 18.4022
10.0000 24.5200  8.2140  0.0571  2.6577  4.7320 11.6015
10.0000 24.5300  8.2189  0.0573  2.7610  4.8135 11.7910
10.0000 24.5400  8.2869  0.0187 -11.9026  4.3919 18.7882
10.0000 24.5500  8.2255  0.0567  2.3800  4.8863 11.6264
10.0000 24.5600  8.2276  0.0557  1.8809  4.8632 11.2430
10.0000 24.5700  8.3009  0.0184 10.6622  4.3951 18.0421
10.0000 24.5800  8.2312  0.0518  0.2539  4.6300  9.7139
10.0000 24.5900  8.2336  0.0495 -0.8363  4.4063  8.5049
10.0000 24.6000  8.2833  0.0523  6.7983  5.1419 15.6560
10.0000 24.6100  8.2458  0.0538 -3.4788  3.8581  5.0563
10.0000 24.6200  8.2607  0.0643 -5.0587  3.6803  2.8122
10.0000 24.6300  8.2549  0.0527  0.3711  5.0154 10.3936
10.0000 24.6400  8.3088  0.0442 -8.9474  4.1079 21.8710
10.0000 24.6500  8.3293  0.0241 -11.1693  4.4107 20.3631
10.0000 24.6600  8.2951  0.0639 -7.0505  3.9662  0.4646
10.0000 24.6700  8.2957  0.0620  5.3000  5.6545 15.3645
10.0000 24.6800  8.2794  0.0544  1.0677  5.5663 11.6857
10.0000 24.6900  8.3350  0.0847  6.0046  6.2244 15.6263
10.0000 24.7000  8.3080  0.0657 -6.8411  4.2535  1.3012
10.5545 23.5000  7.8490  0.0014  8.5030  1.1333  7.0811
10.5545 23.5100  7.8475  0.0053  5.3648  0.7826  4.4664
10.5545 23.5200  7.8573  0.0013  8.5188  1.0179  7.2859
10.5545 23.5300  7.8340  0.0120  3.4638  0.6869  2.6409
10.5545 23.5400  7.8500  0.0074  4.2507  0.5860  3.7708
10.5545 23.5500  7.8850  0.0117 -10.8162  1.7355 11.0118
10.5545 23.5600  7.8830  0.0119 11.8571  1.3418 10.2138
10.5545 23.5700  7.8473  0.0089  3.2358  0.4722  2.8097
10.5545 23.5800  7.8242  0.0139  1.9424  0.5850  1.2968
10.5545 23.5900  7.8860  0.0010  6.3868  0.3875  6.1882
10.5545 23.6000  7.8887  0.0012  5.9086  0.2910  5.8707
10.5545 23.6100  7.8285  0.0119  1.5845  0.4928  1.1294
10.5545 23.6200  7.8762  0.0131  3.9497  0.1228  4.2509
10.5545 23.6300  7.8819  0.0126  4.0418  0.0646  4.4113
10.5545 23.6400  7.8831  0.0490  4.7228  0.0090  5.1783
10.5545 23.6500  7.9093  0.0003  5.8697  0.0000  6.3269
10.5545 23.6600  7.9155  0.0002  6.5670  0.0000  7.0209
10.5545 23.6700  7.9203  0.0002  7.1634  0.0000  7.6149
10.5545 23.6800  7.9244  0.0001  7.7114  0.0000  8.1607
10.5545 23.6900  7.9280  0.0001  8.2284  0.0000  8.6758
10.5545 23.7000  7.9315  0.0001  8.7195  0.0000  9.1653
10.5545 23.7100  7.9350  0.0001  9.1839  0.0000  9.6281
10.5545 23.7200  7.9388  0.0001  9.6185  0.0000 10.0611
10.5545 23.7300  7.9429  0.0002 10.0207  0.0000 10.4616
10.5545 23.7400  7.9475  0.0002 10.3889  0.0001 10.8280
10.5545 23.7500  7.9527  0.0002 10.7245  0.0000 11.3282
10.5545 23.7600  7.9584  0.0001 11.0309  0.0000 11.6324
10.5545 23.7700  7.9646  0.0001 11.3136  0.0001 11.9129
10.5545 23.7800  7.9712  0.0001 11.5753  0.0000 12.1722
10.5545 23.7900  7.9780  0.0001 11.8206  0.0000 12.4151
10.5545 23.8000  7.9849  0.0001 -11.9475  0.0000 12.6446
10.5545 23.8100  7.9918  0.0001 -11.7255  0.0000 12.8642
10.5545 23.8200  7.9987  0.0001 -11.5116  0.0000 13.0759
10.5545 23.8300  8.0054  0.0001 -11.3038  0.0000 13.2815
10.5545 23.8400  8.0120  0.0001 -11.1003  0.0000 13.4829
10.5545 23.8500  8.0182  0.0001 -10.9008  0.0000 13.6806
10.5545 23.8600  8.0241  0.0001 -10.7033  0.0000 13.8764
10.5545 23.8700  8.0297  0.0002 -10.5066  0.0001 14.0715
10.5545 23.8800  8.0349  0.0002 -10.3104  0.0001 14.2662
10.5545 23.8900  8.0397  0.0002 -10.1135  0.0001 14.4619
10.5545 23.9000  8.0440  0.0002 -9.9147  0.0001 14.6596
10.5545 23.9100  8.0479  0.0002 -9.7131  0.0000 14.8603
10.5545 23.9200  8.0513  0.0002 -9.5076  0.0000 15.0650
10.5545 23.9300  8.0543  0.0002 -9.2965  0.0000 15.2755
10.5545 23.9400  8.0567  0.0002 -9.0787  0.0000 15.4930
10.5545 23.9500  8.0586  0.0002 -8.8521  0.0001 15.7195
10.5545 23.9600  8.0598  0.0002 -8.6140  0.0000 15.9576
10.5545 23.9700  8.0605  0.0002 -8.3613  0.0000 16.2106
10.5545 23.9800  8.0605  0.0002 -8.0882  0.0000 16.4843
10.5545 23.9900  8.0597  0.0002 -7.7885  0.0000 16.7850
10.5545 24.0000  8.0579  0.0001 -7.4499  0.0000 17.1249
10.5545 24.0100  8.0546  0.0001 -7.0470  0.0000 17.5297
10.5545 24.0200  8.0486  0.0001 -6.5126  0.0000 18.0671
10.5545 24.0300  8.0517  0.0010 -6.4659  0.0531 18.2048
10.5545 24.0400  8.0010  0.0053 -3.9286  0.1919 21.1123
10.5545 24.0500  8.0878  0.0063 -8.0533  0.3910 17.1430
10.5545 24.0600  8.0624  0.0043 -6.4087  0.2203 18.5507
10.5545 24.0700  8.1066  0.0074 -8.9210  0.6985 16.7293
10.5545 24.0800  8.0419  0.0070 -4.9848  0.3130 20.1933
10.5545 24.0900  8.0615  0.0072 -5.7463  0.3605 19.4833
10.5545 24.1000  8.0359  0.0422  1.9598  2.0847  6.9951
10.5545 24.1100  8.0137  0.0772 -1.4783  1.3081  1.9699
10.5545 24.1200  8.1267  0.0106 -10.8462  1.5038 15.9609
10.5545 24.1300  8.0970  0.0191  5.8525  2.4729 11.0002
10.5545 24.1400  8.1361  0.0083 -9.5920  1.2768 16.9182
10.5545 24.1500  8.0613  0.0452  2.3033  2.3923  7.8626
10.5545 24.1600  8.1079  0.0214  5.8145  2.6319 11.2399
10.5545 24.1700  8.0993  0.0171 -6.0850  0.8448 19.9973
10.5545 24.1800  8.1334  0.0187 -7.7307  1.0916 18.6263
10.5545 24.1900  8.0604  0.0268 -4.0362  1.0343 21.8414
10.5545 24.2000  8.1544  0.0152 -8.9206  1.4611 17.9235
10.5545 24.2100  8.1504  0.0203 -8.1247  1.3455 18.6110
10.5545 24.2200  8.0492  0.0235 -1.2940  1.9831  3.6154
10.5545 24.2300  8.0983  0.0277 -4.9901  1.1566 21.9665
10.5545 24.2400  8.0577  0.0222 -2.0732  1.8496  2.6421
10.5545 24.2500  8.1751  0.0135 -9.9393  2.0210 17.6789
10.5545 24.2600  8.1777  0.0140 11.4893  2.7356 16.0917
10.5545 24.2700  8.1562  0.0290 -7.0207  1.5346 20.1717
10.5545 24.2800  8.1673  0.0161  7.5894  3.1689 13.6416
10.5545 24.2900  8.1644  0.0227  6.7470  3.2892 13.1079
10.5545 24.3000  8.1859  0.0245 -8.4457  1.9647 19.2507
10.5545 24.3100  8.1750  0.0218  7.0693  3.3781 13.5126
10.5545 24.3200  8.1874  0.0169  8.1185  3.3357 14.3398
10.5545 24.3300  8.1790  0.0344 -7.0026  1.8061 21.0196
10.5545 24.3400  8.2095  0.0140 11.2036  3.2872 16.5607
10.5545 24.3500  8.2131  0.0147 -10.9889  2.9057 17.8543
10.5545 24.3600  8.1221  0.0366 -3.2473  2.2520  2.1387
10.5545 24.3700  8.2036  0.0342 -7.6632  2.1366 20.8391
10.5545 24.3800  8.1762  0.0459 -5.9370  2.0467 21.9322
10.5545 24.3900  8.1755  0.0503  4.1335  3.8490 11.8787
10.5545 24.4000  8.1391  0.0353 -1.7558  2.9131  4.9110
10.5545 24.4100  8.1579  0.0513  1.1327  3.7520  8.7784
10.5545 24.4200  8.2365  0.0206 -10.1822  3.1444 19.0668
10.5545 24.4300  8.2313  0.0259  8.0790  3.9654 15.1937
10.5545 24.4400  8.2488  0.0146 11.4742  3.8644 17.5597
10.5545 24.4500  8.1670  0.0424 -3.3906  2.8019  3.1421
10.5545 24.4600  8.2333  0.0426 -7.5651  2.6848 21.8800
10.5545 24.4700  8.2001  0.0572 -5.3686  2.6452  0.2964
10.5545 24.4800  8.2231  0.0485  5.4485  4.4118 13.7169
10.5545 24.4900  8.1872  0.0453 -0.6020  3.8102  7.6796
10.5545 24.5000  8.2042  0.0546  2.2426  4.5242 10.9883
10.5545 24.5100  8.2676  0.0272 -9.9059  3.6794 20.1366
10.5545 24.5200  8.2640  0.0354  7.8495  4.5291 15.7490
10.5545 24.5300  8.2841  0.0177 10.3830  4.2009 17.5537
10.5545 24.5400  8.2229  0.0586 -4.8162  3.1721  2.1389
10.5545 24.5500  8.2816  0.0301 -9.8575  3.9494 20.5650
10.5545 24.5600  8.2791  0.0383 -8.7966  3.5536 21.9789
10.5545 24.5700  8.2259  0.0478 -0.6280  4.3345  8.5253
10.5545 24.5800  8.2632  0.0606 -6.7417  3.4059  0.0000
10.5545 24.5900  8.2586  0.0639 -6.0444  3.4558  0.9662
10.5545 24.6000  8.2476  0.0545  2.1349  5.1803 11.8576
10.5545 24.6100  8.2594  0.0633 -5.2939  3.6283  2.3078
10.5545 24.6200  8.2637  0.0634 -5.2862  3.7021  2.4759
10.5545 24.6300  8.2611  0.0546  2.1744  5.4057 12.1925
10.5545 24.6400  8.2784  0.0646 -6.0366  3.8198  1.6359
10.5545 24.6500  8.2895  0.0629 -6.8361  3.9165  0.7987
10.5545 24.6600  8.2688  0.0500 -0.8834  4.9138  9.2393
10.5545 24.6700  8.3226  0.0415 -9.3656  4.4414 21.8343
10.5545 24.6800  8.3382  0.0269 -10.8879  4.5574 20.9406
10.5545 24.6900  8.2997  0.0646 -6.2031  4.1967  2.1392
10.5545 24.7000  8.3269  0.0541  7.4590  5.7736 17.0548
11.1397 23.5000  7.8291  0.0120  3.9934  0.8568  2.9742
11.1397 23.5100  7.7780  0.0323 -2.1298  2.1600 17.4300
11.1397 23.5200  7.7897  0.0226  1.4151  1.0521  0.0000
11.1397 23.5300  7.8606  0.0012  9.6495  1.1171  8.2662
11.1397 23.5400  7.8648  0.0012  8.9695  0.9686  7.8175
11.1397 23.5500  7.7798  0.0142 -0.2516  1.3522 20.8096
11.1397 23.5600  7.8965  0.0632 -7.7020  2.3530 13.0992
11.1397 23.5700  7.8405  0.0104  2.8513  0.5121  2.3047
11.1397 23.5800  7.8206  0.0412 -3.5719  2.1176 16.4519
11.1397 23.5900  7.8595  0.0062  3.4269  0.3597  3.2901
11.1397 23.6000  7.7957  0.0115 -0.9145  1.2878 20.3154
11.1397 23.6100  7.8828  0.0021  4.5250  0.1986  4.6350
11.1397 23.6200  7.8839  0.0017  4.2411  0.1432  4.4472
11.1397 23.6300  7.8058  0.0099 -0.3087  0.9172 21.8323
11.1397 23.6400  7.9047  0.0004  5.8785  0.0803  6.1984
11.1397 23.6500  7.9072  0.0003  5.5255  0.0003  5.9834
11.1397 23.6600  7.9145  0.0002  6.3307  0.0000  6.7852
11.1397 23.6700  7.9196  0.0002  6.9729  0.0000  7.4247
11.1397 23.6800  7.9239  0.0001  7.5528  0.0000  8.0023
11.1397 23.6900  7.9277  0.0001  8.0948  0.0000  8.5424
