 1.7200 17.8700 13.5000 12.5000 162000.0000 162000.0000
 0.1600 9500.0000  0.6000 19.9000  0.4000  0.2300
13750.9871  0.9967  0.0167  0.0130 24.2000  0.0000
700.0000 40.0000 27000.0000 59400.0000  1.0000  0.0000
 0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
-5.0000 12.5728  0.0000  1.2423  0.0000  2.2667
-4.8000 12.3488  0.0000  1.3993  0.0000  2.4000
-4.6000 12.1278  0.0000  1.5412  0.0000  2.5167
-4.4000 11.9093  0.0000  1.6719  0.0000  2.6333
-4.2000 11.6932  0.0000  1.7942  0.0000  2.7500
-4.0000 11.4791  0.0000  1.9097  0.0000  2.8500
-3.8000 11.2669  0.0000  2.0196  0.0000  2.9333
-3.6000 11.0563  0.0000  2.1246  0.0000  3.0333
-3.4000 10.8472  0.0000  2.2249  0.0000  3.1167
-3.2000 10.6393  0.0000  2.3206  0.0000  3.2000
-3.0000 10.4325  0.0000  2.4116  0.0000  3.2833
-2.8000 10.2267  0.0000  2.4973  0.0000  3.3667
-2.6000 10.0216  0.0000  2.5774  0.0000  3.4333
-2.4000  9.8172  0.0000  2.6511  0.0000  3.5000
-2.2000  9.6132  0.0000  2.7179  0.0000  3.5500
-2.0000  9.4096  0.0000  2.7772  0.0000  3.6167
-1.8000  9.2062  0.0000  2.8285  0.0000  3.6500
-1.6000  9.0029  0.0000  2.8713  0.0000  3.6833
-1.4000  8.7995  0.0000  2.9055  0.0000  3.7167
-1.2000  8.5960  0.0000  2.9310  0.0000  3.7333
-1.0000  8.3921  0.0000  2.9481  0.0000  3.7500
-0.8000  8.1878  0.0000  2.9572  0.0000  3.7500
-0.6000  7.9829  0.0000  2.9588  0.0000  3.7333
-0.4000  7.7772  0.0000  2.9535  0.0000  3.7333
-0.2000  7.5707  0.0000  2.9420  0.0000  3.7000
 0.0000  7.3632  0.0000  2.9250  0.0000  3.6833
 0.2000  7.1546  0.0000  2.9032  0.0000  3.6500
 0.4000  6.9446  0.0000  2.8772  0.0000  3.6167
 0.6000  6.7333  0.0000  2.8477  0.0000  3.5833
 0.8000  6.5204  0.0000  2.8152  0.0000  3.5333
 1.0000  6.3058  0.0000  2.7802  0.0000  3.4833
 1.2000  6.0893  0.0000  2.7430  0.0000  3.4333
 1.4000  5.8709  0.0000  2.7041  0.0000  3.3833
 1.6000  5.6504  0.0000  2.6639  0.0000  3.3167
 1.8000  5.4276  0.0000  2.6227  0.0000  3.2500
 2.0000  5.2024  0.0000  2.5811  0.0000  3.2000
 2.2000  4.9746  0.0001  2.5395  0.0000  3.1190
 2.4000  4.7440  0.0001  2.4984  0.0000  3.0599
 2.6000  4.5103  0.0001  2.4588  0.0000  2.9705
 2.8000  4.2733  0.0001  2.4216  0.0000  2.9018
 3.0000  4.0325  0.0001  2.3882  0.0000  2.8055
 3.2000  3.7875  0.0001  2.3605  0.0000  2.7170
 3.4000  3.5373  0.0001  2.3411  0.0000  2.6228
 3.6000  3.2807  0.0001  2.3341  0.0001  2.5107
 3.8000  3.0156  0.0001  2.3455  0.0001  2.4048
 4.0000  4.8360  0.0000  1.1618  0.0000  1.9500
